key,text,imageUrl
booking.noSlotsThisDay,Pre tento deň nie sú voľné termíny.,
booking.slotsGroupAria,Voľné časové sloty,
booking.calPrev,Predchádzajúci mesiac,
booking.calNext,Ďalší mesiac,
booking.calGridAria,Výber dňa,
booking.calMo,Po,
booking.calTu,Ut,
booking.calWe,St,
booking.calTh,Št,
booking.calFr,Pi,
booking.calSa,So,
booking.calSu,Ne,
booking.name,Meno Priezvisko,
booking.email,E-mail,
booking.phone,Telefón,
booking.service,Služba,
booking.notes,Poznámky,
booking.phName,Vaše meno,
booking.phEmail,vas@email.sk,
booking.phPhone,+421…,
booking.phNotes,"Príležitosť, štýl alebo preferencie",
booking.selectService,Vyberte službu,
booking.submit,Odoslať rezerváciu,
booking.sending,Odosiela sa…,
booking.selectSlot,Najprv vyberte časový slot.,
booking.success,Rezervácia odoslaná. Julia čoskoro potvrdí.,
booking.successPending,Skontrolujte e-mail a do 30 minút kliknite na overovací odkaz.,
booking.submitSuccessTitle,Rezervácia odoslaná,
booking.submitSuccessVerifyBody,Poslali sme vám e-mail s overovacím odkazom. Odkaz je platný 30 minút.,
booking.dialogOk,OK,
booking.slotTaken,Tento termín bol práve obsadený. Vyberte iný čas.,
booking.error,Niečo sa nepodarilo. Skúste znova alebo nás kontaktujte.,
booking.serviceMismatch,Tento slot nezodpovedá zvolenej službe.,
booking.expiredVerification,"Odkaz expiroval. Ak chcete termín, odošlite novú žiadosť.",
booking.tokenUsed,Tento odkaz bol už použitý alebo nie je platný.,
booking.invalidToken,Neplatný alebo neznámy odkaz.,
booking.serverConfig,Rezervácia je dočasne nedostupná. Kontaktujte štúdio.,
booking.mailError,E-mail sa nepodarilo odoslať. Skúste neskôr alebo kontaktujte štúdio.,
booking.errBusy,Server je zaneprázdnený. Skúste o chvíľu znova.,
booking.notFound,Tento časový slot už v kalendári neexistuje.,
booking.resultEmailVerified,E-mail overený. Štúdio posúdi vašu žiadosť.,
booking.resultConfirmed,Rezervácia potvrdená. Mali by ste dostať potvrdzovací e-mail.,
booking.resultRejected,Táto žiadosť o rezerváciu nebola schválená.,
booking.resultCancelled,Vaša rezervácia bola zrušená.,
booking.resultAlreadyCancelled,Táto rezervácia už bola zrušená.,
booking.resultLinkError,Túto akciu sa nepodarilo dokončiť z odkazu.,
contact.eyebrow,Kontakt,
contact.h2,Ozvite sa ohľadom rezervácií a beauty otázok,
contact.studioTitle,Údaje štúdia,
contact.hoursTitle,Otváracie hodiny,
contact.noteTitle,Poznámka k rezervácii,
contact.line1,"Račianska 66, Bratislava",
contact.email,info@julierebeauty.com,
contact.phone,+421 944 114 253,
contact.hours1, ,
contact.hours2,Po - Ne: Na objednávku,
contact.hours3, ,
contact.noteP,"Pri svadobných termínoch a skupinových rezerváciách odporúčam, si rezervovať termín v predstihu, aby ste mali preferovaný čas.",
contact.mapHeading,Kde nás nájdete,
contact.mapTitle,"Mapa — Juliére Beauty, Bratislava",
footer.brand,Juliére Beauty,
footer.address,"Račianska 66, 831 02 Bratislava",
footer.socialAria,Sociálne siete,
footer.socialInstagram,Instagram,
footer.socialFacebook,Facebook,
footer.socialX,X,
footer.socialInstagramUrl,https://www.instagram.com/julierebeauty/,
footer.socialFacebookUrl,,
footer.socialXUrl,,
lang.switchAria,Jazyk,
lang.en,English,
lang.sk,Slovenčina,
toast.dismiss,Zavrieť,
carousel.slideOf,Snímka {{n}} z {{total}},
