key,text,imageUrl
home.instagram.embed.1,https://www.instagram.com/julierebeauty/reel/DZp7beuMw3U/,
home.instagram.embed.2,,
home.instagram.embed.3,,
sheet.loading,Loading…,
hero.carouselAria,Juliére Beauty,
hero.slide1.alt,"Portrait  professional makeup look, Juliére Beauty",
hero.slide1.caption,Featured portrait for Juliére Beauty,
hero.slide2.alt,Luxury makeup products  Juliére Beauty studio,
hero.slide2.caption,,
hero.slide3.alt,"Portrait  soft glam makeup, Juliére Beauty",
hero.slide3.caption,Portrait with professional makeup look,
hero.tagline,Modern beauty studio,
hero.prevSlide,Previous slide,
hero.nextSlide,Next slide,
hero.chooseSlide,Choose slide,
hero.scroll,Scroll,
header.brandAria,Juliére Beauty home,
header.brandPrimary,Juliére,
header.brandSecondary,Beauty,
header.openMenu,Open menu,
header.closeMenu,Close menu,
header.navMain,Main,
nav.about,About,
nav.portfolio,Portfolio,
nav.prices,Services,
nav.reviews,Reviews,
nav.beforeVisit,Recommendations,
nav.contact,Contact,
nav.booking,Book,
nav.faq,Q&A,
intro.text,Highlight your beauty.,
intro.portfolio,View portfolio,
intro.book,Book a slot,
stats.years,8+ years,
stats.yearsDesc,years of experience,
stats.sessions,,
stats.sessionsDesc,,
stats.rating,Reviews,
stats.ratingDesc,,
about.eyebrow,About me,
about.h2,Minimalist makeup tailored to what makes you unique.,
about.statsAria,About highlights,
about.photoAlt,Julia  Juliére Beauty makeup artist,
about.p1,Welcome! I'm Julia and makeup has been my passion for over 8 years. I specialize in wedding makeup but I can do all the types of occasional glam.  ,
about.p2,"I believe every woman is beautiful, and my goal is to gently enhance that beauty so you feel confident and still yourself. I look forward to seeing you!",
portfolio.eyebrow,Portfolio,
portfolio.h2,My work,
portfolio.carouselAria,Portfolio  browse looks,
portfolio.bridal.label,BEFORE & AFTER,
portfolio.bridal.p,Makeup transformations.,
portfolio.soft.label,Brides,
portfolio.soft.p,Bridal makeup.,
portfolio.editorial.label,Statement looks,
portfolio.editorial.p,Bold makeup or Halloween-ready glam.,
portfolio.evening.label,Brow shaping & lamination,
portfolio.evening.p,Finished work.,
portfolio.gallery.openSuffix,Open photo gallery,
portfolio.gallery.close,Close gallery,
portfolio.gallery.fullscreenOpen,Open photo fullscreen,
portfolio.gallery.fullscreenClose,Close fullscreen photo,
portfolio.gallery.lightboxAria,Fullscreen photo,
portfolio.gallery.fullscreenPrev,Previous photo,
portfolio.gallery.fullscreenNext,Next photo,
portfolio.gallery.bridal.1,Bridal makeup  portrait,
portfolio.gallery.bridal.2,Bridal makeup  soft glam portrait,
portfolio.gallery.bridal.3,Professional makeup products used for bridal looks,
portfolio.gallery.bridal.4,,
portfolio.gallery.bridal.5,,
portfolio.gallery.bridal.6,Bridal makeup  portrait finish,
portfolio.gallery.soft.1,Soft glam makeup  portrait,
portfolio.gallery.soft.2,Soft glam  beauty portrait,
portfolio.gallery.soft.3,Makeup products  soft glam session,
portfolio.gallery.soft.4,Soft glam  sculpt and highlight,
portfolio.gallery.soft.5,Portrait finish  camera-ready skin,
portfolio.gallery.editorial.1,Editorial beauty  product flat lay,
portfolio.gallery.editorial.2,Editorial clean  portrait,
portfolio.gallery.editorial.3,Editorial portrait  graphic liner,
portfolio.gallery.editorial.4,Editorial set  texture study,
portfolio.gallery.editorial.5,Studio editorial  luminous skin,
portfolio.gallery.evening.1,Evening makeup  portrait,
portfolio.gallery.evening.2,Evening luxe  beauty portrait,
portfolio.gallery.evening.3,Evening look  products,
portfolio.gallery.evening.4,Evening glam  smoky depth,
portfolio.gallery.evening.5,Night-out makeup  dimensional eyes,
portfolio.gallery.bridal.caption1,"Ceremony-ready skin with a soft, luminous finish.",
portfolio.gallery.bridal.caption2,Curated long-wear products chosen for photos and long days.,
portfolio.gallery.bridal.caption3,Romantic definition that stays fresh from vows to the last dance.,
portfolio.gallery.bridal.caption4,Close-up finish that reads beautifully in natural daylight.,
portfolio.gallery.bridal.caption5,Gentle contour and luminous skin for an effortless aisle moment.,
portfolio.gallery.bridal.caption6,Soft definition and a natural glow that photographs beautifully all day.,
portfolio.gallery.soft.caption1,"Balanced soft glam  polished in person, stunning on camera.",
portfolio.gallery.soft.caption2,Even light and gentle contour for a refined everyday glow.,
portfolio.gallery.soft.caption3,Texture and tone matched to your skin and the occasion.,
portfolio.gallery.soft.caption4,"Precision placement with a feather-light, wearable balance.",
portfolio.gallery.soft.caption5,Evening-ready polish that still feels soft and natural.,
portfolio.gallery.editorial.caption1,Clean editorial mood  texture and light kept intentional.,
portfolio.gallery.editorial.caption2,Modern minimal beauty with understated luxury.,
portfolio.gallery.editorial.caption3,Graphic liner and negative space for a sharp editorial frame.,
portfolio.gallery.editorial.caption4,Controlled texture and matte-meets-glow for print-ready contrast.,
portfolio.gallery.editorial.caption5,Skin-forward editorial with sculptural cheek and lip.,
portfolio.gallery.evening.caption1,Defined eyes and glowing skin for after-dark events.,
portfolio.gallery.evening.caption2,Sculpted complexion with a long-wear evening finish.,
portfolio.gallery.evening.caption3,Products selected for flash photography and hours of wear.,
portfolio.gallery.evening.caption4,Smoky depth with balanced lid space for low-light venues.,
portfolio.gallery.evening.caption5,High-impact eyes with skin that stays velvet through the night.,
portfolio.gallery.bridal.tag1,@nina.m,
portfolio.gallery.bridal.tag2,@elena.k,
portfolio.gallery.bridal.tag3,@sophia,
portfolio.gallery.bridal.tag4,@lucia.p,
portfolio.gallery.bridal.tag5,@tereza.v,
portfolio.gallery.bridal.tag6,@nina.m,
portfolio.gallery.soft.tag1,@tereza.v,
portfolio.gallery.soft.tag2,@lucia.p,
portfolio.gallery.soft.tag3,@nina.m,
portfolio.gallery.soft.tag4,@elena.k,
portfolio.gallery.soft.tag5,@sophia,
portfolio.gallery.editorial.tag1,,
portfolio.gallery.editorial.tag2,@elena.k,
portfolio.gallery.editorial.tag3,@sophia,
portfolio.gallery.editorial.tag4,@nina.m,
portfolio.gallery.editorial.tag5,@tereza.v,
portfolio.gallery.evening.tag1,@sophia,
portfolio.gallery.evening.tag2,,
portfolio.gallery.evening.tag3,,
portfolio.gallery.evening.tag4,@elena.k,
portfolio.gallery.evening.tag5,@julia.studio,
prices.eyebrow,Pricing,
prices.h2,Services,
prices.signature.tag,Most requested,
prices.signature.h3,Event makeup,
prices.signature.p,"Event makeup is ideal for balls, proms, celebrations and other special occasions.",
prices.bridal.h3,Bridal makeup,
prices.bridal.p,Feel exceptional on your big day!,
prices.trial.h3,Makeup trial,
prices.trial.p,"Together we'll refine the makeup exactly to your expectations, so on the day you can be sure of a flawless result stress-free.",
prices.lesson.h3,Self-makeup course,
prices.lesson.p,Coming soon,
prices.travel.h3,Travel fee,
prices.travel.p,On location makeup charged by distance from the studio at Račianska 66.,
prices.brows.h3,Brow Shaping & Lamination,
prices.brows.p,"Shaped brows, optional tint, and lamination for fuller arches with minimal daily upkeep.",
prices.shoot.h3,Photoshoot Makeup,
prices.shoot.p,"Flash-balanced complexion and definition for studio work, branding shots, or portfolio updates.",
prices.carouselAria,Pricing and services  browse packages,
reviews.carouselAria,Client reviews  browse testimonials,
beforeVisit.carouselAria,Before your visit  browse tips,
prices.detail.openSuffix,Open service details,
prices.detail.close,Close details,
prices.signature.price,40 EUR,
prices.bridal.price,45 EUR,
prices.trial.price,45 EUR,
prices.lesson.price,75 EUR,
prices.travel.price,0.25 EUR/km,
prices.brows.price,45 EUR,
prices.shoot.price,85 EUR,
prices.signature.duration,Duration: about 60 minutes,
prices.bridal.duration,Duration: about 75 minutes,
prices.trial.duration,Duration: about 90 minutes,
prices.lesson.duration,Duration: about 4 hours,
prices.travel.duration,Min. 4 people,
prices.brows.duration,Duration: about 50 minutes,
prices.shoot.duration,Duration: about 90 minutes,
prices.signature.detail,"Event makeup for balls, proms, celebrations and other special occasions  tailored to your outfit, the venue and how long you need it to last. We prep the skin and build a polished, long-wearing look that still feels like you.",
prices.bridal.detail,"Bridal makeup shaped to your style so you feel exceptional on your big day  refined, long-wearing and camera-ready from ceremony through the evening.",
prices.trial.detail,We refine the look together ahead of your event so on the day you're confident in a flawless result no last-minute stress.,
prices.lesson.detail,Coming soon.,
prices.travel.detail,Travel is available for on location bookings with a minimum of four people. The fee is calculated from the studio at Račianska 66 to your venue and back.  Contact me with the address and headcount before booking so I can confirm the total.,
prices.brows.detail,"We map your natural brow line, then trim, wax, or tweeze as needed, and finish with a tailored tint or lamination so hairs stay lifted and even for weeks.  Bring inspiration photos if you have them  the goal is balance with your features and a clean grow-out.",
prices.shoot.detail,"Makeup is calibrated for camera sensors and lighting  coverage reads smooth under flash, eyes stay crisp, and lips photograph true to tone.  Allow buffer before call time for tweaks under your photographer’s lights so nothing surprises on the tether.",
reviews.eyebrow,Reviews,
reviews.h2,What clients say,
reviews.c1.pill,Bridal,
reviews.c1.h3,Sophia K.,
reviews.c1.p,"Calm, precise, and the makeup lasted perfectly through the whole day and night.",
reviews.c2.pill,Event,
reviews.c2.h3,Nina M.,
reviews.c2.p,"Exactly the soft glam I wanted  natural in person, stunning in photos.",
reviews.c3.pill,Lesson,
reviews.c3.h3,Tereza V.,
reviews.c3.p,The 1:1 lesson finally made my everyday routine feel doable and elegant.,
reviews.c4.pill,Trial,
reviews.c4.h3,Lucia P.,
reviews.c4.p,Trial before the wedding gave us time to refine everything  zero stress on the day.,
beforeVisit.eyebrow,Before you arrive,
beforeVisit.h2,A few tips so your appointment goes smoothly,
beforeVisit.t1.pill,Skin,
beforeVisit.t1.h3,Come with a clean face,
beforeVisit.t1.p,"Arrive without makeup if you can, and skip heavy creams right before the session.",
beforeVisit.t2.pill,References,
beforeVisit.t2.h3,Bring inspiration,
beforeVisit.t2.p,"Save a few photos you like it helps align on tone, intensity, and finish.",
beforeVisit.t3.pill,Outfit,
beforeVisit.t3.h3,Neckline & jewelry,
beforeVisit.t3.p,Wear or bring something close to your event neckline so the look feels cohesive.,
beforeVisit.t4.pill,Timing,
beforeVisit.t4.h3,Plan a little buffer,
beforeVisit.t4.p,Artistry takes time allow a few extra minutes so we never have to rush the details.,
faq.eyebrow,Q&A,
faq.h2,Common questions,
faq.q1,How do I book?,
faq.a1,"You can book an appointment using the online booking system directly on the website, or you can contact me through my social media channels or by phone. If you use the booking system, please wait for your appointment to be confirmed.",
faq.q2,Can I change or cancel?,
faq.a2,"Have your plans changed? No problem. If you need to reschedule or cancel your appointment, please let me know as soon as possible and we'll arrange the necessary changes together.  Please note: If an appointment is cancelled less than 24 hours before the scheduled time, 100% of the makeup service fee will be charged.",
faq.q3,Do I need a trial for bridal makeup?,
faq.a3,A trial is recommended so the look is locked in before the big day  but it is optional depending on your timeline.,
faq.q4,Do you travel to clients?,
faq.a4,"Yes, I do travel to clients, but only for bookings involving a minimum of four people. Travel fees can be found in my price list. Otherwise, I'll be happy to welcome you to my studio at Račianska 66.",
service.signature,Event makeup,
service.bridal,Bridal makeup,
service.trial,Makeup trial,
service.lesson,Self-makeup course,
service.brows,Brow Shaping & Lamination,
service.shoot,Photoshoot Makeup,
booking.eyebrow,Booking,
booking.h2,Choose an available time,
booking.intro,Pick an open slot in the calendar and complete your details below.,
booking.rulesTitle,Reservation rules,
booking.ruleStudio,"Reservations made here are for appointments at the studio only. For a custom location, contact us directly.",
booking.ruleVerify,Your reservation is only a request until you verify your email and the studio approves it.,
booking.ruleEmailExpiry,The email verification link expires after 30 minutes.,
booking.ruleContact,Use a real email and phone number so we can confirm details if needed.,
booking.ruleCancel,Confirmed reservations can be cancelled from the email link up to 24 hours before the appointment.,
booking.serviceFirst,Which service do you want?,
booking.chooseServiceFirst,Choose a service to see available dates and times.,
booking.noSlotsForService,There are no open slots for this service yet  try another service or contact us.,
booking.configNeeded,Add your booking web app URL in assets/js/config.js (bookingScriptUrl).,
booking.slotsLoading,Loading available times…,
booking.slotsEmpty,No open slots right now  check back soon or contact us directly.,
booking.slotsError,Could not load availability. Try again later.,
booking.slotsHint,Choose a time for the selected day.,
booking.pickDate,Select a date.,
booking.noSlotsThisDay,No available slots for this day.,
booking.slotsGroupAria,Available time slots,
booking.calPrev,Previous month,
booking.calNext,Next month,
booking.calGridAria,Choose a day,
booking.calMo,Mon,
booking.calTu,Tue,
booking.calWe,Wed,
booking.calTh,Thu,
booking.calFr,Fri,
booking.calSa,Sat,
booking.calSu,Sun,
booking.name,Name,
booking.email,Email,
booking.phone,Phone,
booking.service,Service,
booking.notes,Notes,
booking.phName,Your name,
booking.phEmail,you@example.com,
booking.phPhone,+421…,
booking.phNotes,"Occasion, style, or preferences",
booking.selectService,Select a service,
booking.submit,Send reservation,
booking.sending,Sending…,
booking.selectSlot,Please choose a time slot first.,
booking.success,Reservation sent. Julia will confirm soon.,
booking.successPending,Check your email and click the verification link within 30 minutes.,
booking.slotTaken,That slot was just taken. Please pick another time.,
booking.error,Something went wrong. Please try again or contact us.,
booking.serviceMismatch,That slot does not match the selected service.,
booking.expiredVerification,That link has expired. Submit a new request if you still need an appointment.,
booking.tokenUsed,This link was already used or is no longer valid.,
booking.invalidToken,Invalid or unknown link.,
booking.serverConfig,Booking is temporarily unavailable. Please contact the studio.,
booking.mailError,Email could not be sent. Try again later or contact the studio.,
booking.errBusy,Server busy. Try again in a moment.,
booking.notFound,That time slot no longer exists in the calendar.,
booking.resultEmailVerified,Email verified. The studio will review your request.,
booking.resultConfirmed,Booking confirmed. You should receive a confirmation email.,
booking.resultRejected,This reservation request was not approved.,
booking.resultCancelled,Your booking has been cancelled.,
booking.resultAlreadyCancelled,This booking was already cancelled.,
booking.resultLinkError,We could not complete that action from the link.,
contact.eyebrow,Contact,
contact.h2,Reach out for bookings and beauty questions,
contact.studioTitle,Studio details,
contact.hoursTitle,Hours,
contact.noteTitle,Booking note,
contact.line1,"Račianska 66, Bratislava",
contact.email,info@julierebeauty.com,
contact.phone,+421 944 114 253,
contact.hours1,,
contact.hours2,Mon–Sun: By appointment,
contact.hours3,,
contact.noteP,For wedding dates and group bookings I recommend booking ahead so you can secure your preferred time.,
contact.mapHeading,Studio location,
contact.mapTitle,"Map — Juliére Beauty studio, Bratislava",
footer.brand,Juliére Beauty,
footer.address,"Račianska 66, 831 02 Bratislava",
footer.socialAria,Social media,
footer.socialInstagram,Instagram,
footer.socialFacebook,Facebook,
footer.socialX,X,
footer.socialInstagramUrl,https://www.instagram.com/julierebeauty/,
footer.socialFacebookUrl,,
footer.socialXUrl,,
lang.switchAria,Language,
lang.en,English,
lang.sk,Slovenčina,
toast.dismiss,Dismiss,
carousel.slideOf,Slide {{n}} of {{total}},
